user_id,course_name,country,device_type,avg_session_time_min,days_active_last_30,videos_watched,assignments_completed,activity_level,feedback_text,dropout
1,Web Development,India,mobile,165,27,44,6,low,i stopped understanding after few lessons,0
2,Cyber Security,USA,mobile,31,17,115,13,high,not enough support,0
3,AI,Canada,,17,20,64,17,medium,not enough support,1
4,Cyber Security,USA,desktop,137,24,2,29,medium,platform is good but i am losing interest,1
5,Cyber Security,UK,desktop,109,0,95,23,medium,too fast pace for beginners,1
6,Data Science,USA,,64,19,19,14,high,i was enjoying the course but now feeling lost,0
7,AI,,,57,9,80,12,low,initially motivated but now skipping videos,1
8,AI,,,141,25,36,18,medium,need more examples and practice,0
9,AI,USA,mobile,165,29,37,28,medium,i was enjoying the course but now feeling lost,0
10,Cyber Security,Germany,,142,18,112,21,high,i was enjoying the course but now feeling lost,0
11,Web Development,UK,mobile,25,16,73,1,low,lectures are boring and repetitive,1
12,AI,India,,122,0,106,6,low,great start but later became difficult,0
13,,USA,desktop,78,0,44,12,high,need more examples and practice,0
14,Cyber Security,India,desktop,57,16,92,3,medium,need more examples and practice,1
15,Data Science,UK,,71,14,41,5,low,too fast pace for beginners,0
16,Web Development,USA,,88,28,45,17,low,i stopped understanding after few lessons,0
17,,Germany,mobile,113,1,59,18,medium,platform is good but i am losing interest,0
18,,Canada,tablet,100,10,95,14,high,,0
19,Data Science,Germany,mobile,170,20,12,2,medium,initially motivated but now skipping videos,1
20,Web Development,Germany,desktop,170,1,30,19,,,0
21,Cyber Security,Canada,,47,19,67,16,low,platform is good but i am losing interest,0
22,Python,Canada,desktop,116,8,115,15,high,initially motivated but now skipping videos,0
23,Web Development,,tablet,172,18,61,12,medium,initially motivated but now skipping videos,0
24,Data Science,Canada,mobile,169,1,48,21,medium,platform is good but i am losing interest,0
25,,USA,desktop,131,15,17,26,high,lectures are boring and repetitive,0
26,Cyber Security,India,mobile,90,19,74,21,low,too fast pace for beginners,1
27,Web Development,,,111,8,105,19,high,initially motivated but now skipping videos,0
28,Python,,desktop,90,19,52,7,,i was enjoying the course but now feeling lost,1
29,Python,India,tablet,129,27,17,20,high,platform is good but i am losing interest,1
30,AI,,mobile,139,20,50,25,,not enough support,0
31,AI,Canada,mobile,135,3,40,13,low,not enough support,0
32,Data Science,Germany,tablet,12,28,100,3,medium,,0
33,Web Development,UK,desktop,166,23,96,6,,great start but later became difficult,0
34,Web Development,Canada,desktop,106,29,100,9,,i was enjoying the course but now feeling lost,1
35,,Germany,mobile,122,12,66,14,high,,0
36,,Germany,tablet,53,14,64,25,high,,1
37,,,mobile,160,19,82,15,medium,i stopped understanding after few lessons,1
38,AI,USA,mobile,100,1,5,7,low,content is good but explanations are confusing,1
39,Web Development,USA,,173,27,73,1,,too fast pace for beginners,0
40,Web Development,,desktop,179,19,36,28,medium,i stopped understanding after few lessons,0
41,Python,,desktop,37,17,11,16,,content is good but explanations are confusing,0
42,AI,India,,119,24,107,5,medium,not enough support,1
43,Cyber Security,India,desktop,59,26,80,15,high,i was enjoying the course but now feeling lost,0
44,AI,UK,desktop,54,29,90,1,high,,1
45,Cyber Security,UK,desktop,146,23,1,26,low,i stopped understanding after few lessons,0
46,Python,UK,tablet,1,8,52,23,high,platform is good but i am losing interest,0
47,Data Science,UK,,149,19,24,28,medium,,0
48,Web Development,Germany,mobile,28,0,109,20,,,0
49,Python,Germany,tablet,112,2,107,17,medium,platform is good but i am losing interest,0
50,Web Development,India,mobile,16,22,27,10,low,platform is good but i am losing interest,0
51,,USA,,176,16,44,11,high,too fast pace for beginners,0
52,Data Science,,,28,10,36,4,high,i was enjoying the course but now feeling lost,1
53,Data Science,USA,,150,23,100,1,,i was enjoying the course but now feeling lost,0
54,Python,Canada,desktop,112,24,16,21,low,too fast pace for beginners,1
55,Data Science,Germany,tablet,129,7,68,23,low,not enough support,1
56,Cyber Security,UK,,116,20,55,17,high,need more examples and practice,0
57,Data Science,UK,mobile,170,11,57,21,low,i stopped understanding after few lessons,0
58,Web Development,Canada,desktop,98,10,82,5,medium,,0
59,Web Development,USA,desktop,70,29,3,0,low,need more examples and practice,0
60,Web Development,UK,tablet,92,27,102,8,medium,great start but later became difficult,1
61,Web Development,USA,tablet,3,12,54,14,medium,need more examples and practice,1
62,Cyber Security,,tablet,81,14,48,27,medium,content is good but explanations are confusing,0
63,AI,Canada,desktop,44,24,106,7,high,need more examples and practice,1
64,,USA,,155,19,37,27,medium,platform is good but i am losing interest,0
65,Python,,mobile,179,24,44,13,,not enough support,0
66,Web Development,USA,,24,16,107,3,low,,0
67,Data Science,USA,mobile,148,11,29,6,medium,lectures are boring and repetitive,0
68,Web Development,UK,,160,26,95,19,,too fast pace for beginners,0
69,Data Science,India,tablet,99,18,36,7,high,great start but later became difficult,0
70,,Germany,mobile,141,19,55,9,high,platform is good but i am losing interest,0
71,,USA,desktop,112,10,26,17,high,need more examples and practice,0
72,,USA,mobile,171,9,31,17,high,need more examples and practice,1
73,Data Science,USA,desktop,148,16,105,18,low,,0
74,Web Development,India,,123,27,10,29,high,great start but later became difficult,0
75,,,tablet,112,21,104,3,low,initially motivated but now skipping videos,0
76,Cyber Security,Canada,mobile,130,12,57,26,,content is good but explanations are confusing,0
77,Data Science,UK,desktop,68,15,76,12,high,initially motivated but now skipping videos,1
78,Data Science,India,,91,19,34,5,high,initially motivated but now skipping videos,1
79,Web Development,,tablet,60,19,16,20,,content is good but explanations are confusing,0
80,Data Science,USA,tablet,132,16,29,25,,,1
81,Data Science,,tablet,124,4,17,12,low,not enough support,0
82,,India,,96,8,100,25,medium,i was enjoying the course but now feeling lost,0
83,Web Development,India,,145,21,111,22,low,initially motivated but now skipping videos,1
84,,India,,129,23,29,21,medium,lectures are boring and repetitive,0
85,,Canada,tablet,33,26,89,29,low,great start but later became difficult,1
86,Web Development,Germany,mobile,30,3,118,15,medium,,1
87,Python,UK,desktop,5,8,15,19,high,content is good but explanations are confusing,0
88,,Canada,,118,15,74,26,medium,lectures are boring and repetitive,0
89,Cyber Security,Canada,mobile,140,6,53,9,,need more examples and practice,0
90,Cyber Security,Germany,desktop,160,13,3,8,,lectures are boring and repetitive,1
91,Data Science,Canada,tablet,38,13,104,6,medium,too fast pace for beginners,1
92,Cyber Security,India,mobile,17,6,14,16,high,too fast pace for beginners,1
93,Data Science,India,tablet,109,23,75,23,high,,0
94,Python,,desktop,40,15,26,19,medium,great start but later became difficult,1
95,Web Development,USA,,152,17,111,6,medium,content is good but explanations are confusing,1
96,Web Development,Canada,tablet,140,27,3,26,,too fast pace for beginners,0
97,Web Development,USA,mobile,111,5,34,1,,great start but later became difficult,0
98,Cyber Security,UK,,128,6,84,27,low,platform is good but i am losing interest,0
99,Python,India,mobile,95,18,62,18,high,i was enjoying the course but now feeling lost,1
100,Cyber Security,,desktop,147,7,99,0,high,initially motivated but now skipping videos,0
101,Cyber Security,UK,desktop,29,0,65,1,high,content is good but explanations are confusing,0
102,Python,,,145,16,114,26,low,initially motivated but now skipping videos,0
103,Python,Germany,mobile,73,25,38,4,low,lectures are boring and repetitive,1
104,Python,India,mobile,21,18,27,17,,need more examples and practice,1
105,Python,UK,mobile,60,21,33,28,,great start but later became difficult,1
106,Web Development,Germany,mobile,98,6,32,5,medium,initially motivated but now skipping videos,0
107,AI,UK,desktop,75,17,49,5,low,,1
108,AI,,mobile,119,29,59,21,low,initially motivated but now skipping videos,0
109,Python,Germany,desktop,148,5,71,27,low,content is good but explanations are confusing,1
110,AI,Germany,mobile,113,27,71,26,high,lectures are boring and repetitive,0
111,AI,India,mobile,114,20,41,15,,too fast pace for beginners,1
112,Python,USA,tablet,103,5,113,15,medium,lectures are boring and repetitive,0
113,AI,,tablet,80,0,85,29,low,too fast pace for beginners,1
114,Cyber Security,,mobile,63,29,90,2,low,content is good but explanations are confusing,0
115,Data Science,Germany,desktop,57,9,27,26,low,need more examples and practice,0
116,Data Science,Germany,mobile,29,22,74,2,high,i stopped understanding after few lessons,0
117,Python,India,tablet,129,7,26,25,medium,initially motivated but now skipping videos,0
118,Web Development,USA,mobile,124,29,118,22,medium,platform is good but i am losing interest,0
119,Python,,tablet,59,6,0,28,low,i stopped understanding after few lessons,0
120,Web Development,Canada,mobile,86,8,102,28,medium,i was enjoying the course but now feeling lost,0
121,Data Science,Canada,,71,0,91,3,high,,1
122,Python,USA,mobile,89,25,90,5,low,lectures are boring and repetitive,1
123,,UK,desktop,98,24,7,27,,,0
124,Cyber Security,India,tablet,44,10,45,23,,,0
125,AI,USA,,176,26,23,2,medium,initially motivated but now skipping videos,0
126,Web Development,Canada,tablet,116,28,114,24,,not enough support,0
127,,Germany,tablet,75,2,39,8,,too fast pace for beginners,1
128,AI,Canada,desktop,143,17,50,2,low,,0
129,AI,Germany,mobile,163,5,117,5,high,,0
130,Python,India,desktop,23,10,99,20,low,initially motivated but now skipping videos,0
131,AI,Germany,mobile,45,4,118,19,high,need more examples and practice,1
132,Cyber Security,USA,,92,19,23,23,low,i was enjoying the course but now feeling lost,1
133,,Germany,desktop,13,3,105,25,,i stopped understanding after few lessons,0
134,AI,UK,desktop,34,7,21,8,low,too fast pace for beginners,1
135,Python,USA,tablet,166,9,73,14,medium,i stopped understanding after few lessons,0
136,Cyber Security,India,desktop,70,28,67,27,medium,content is good but explanations are confusing,0
137,Data Science,USA,mobile,108,2,7,8,high,content is good but explanations are confusing,1
138,,UK,desktop,133,12,102,4,high,content is good but explanations are confusing,1
139,AI,India,desktop,126,16,57,20,high,too fast pace for beginners,0
140,Python,Canada,,168,4,14,26,medium,platform is good but i am losing interest,0
141,Data Science,UK,mobile,21,7,7,15,low,initially motivated but now skipping videos,0
142,Data Science,India,tablet,156,18,92,2,,i stopped understanding after few lessons,1
